MMI, ITB_Class, Comp_damage 
7.427491, NEH2.1.1, 7.527520 
7.429126, NEL2.1.1, 1.203764 
7.426258, NEL2.1.1, 1.186596 
7.426074, NEL2.1.1, 1.185501 
7.430140, NEH2.1.1, 7.573643 
7.430347, NEL2.1.1, 1.211136 
7.422205, NEH2.1.1, 7.436074 
7.411218, NEL2.1.1, 1.099898 
7.401452, NEL2.1.1, 1.046512 
7.431360, NEH2.1.1, 7.594952 
7.416712, NEL2.1.1, 1.130927 
7.429126, NEL2.1.1, 1.203764 
7.404871, NEL3.1.1, 0.852294 
7.412683, NEH2.1.1, 7.273329 
7.423218, NEL2.1.1, 1.168623 
7.429322, NEL2.1.2, 3.969433 
7.442139, ER4.1.1.3, 1.734977 
7.428186, NEL2.1.1, 1.198114 
7.425745, NEL2.1.1, 1.183546 
7.425977, NEL2.1.1, 1.184925 
7.430017, NEL3.1.1, 0.934102 
7.429529, NEL2.1.1, 1.206193 
7.404907, NEH2.1.1, 7.142309 
7.431360, NEL2.1.1, 1.217281 
7.434620, NEL3.2.1, 2.162594 
7.440516, NEL2.1.1, 1.274021 
7.430347, NEL2.1.1, 1.211136 
7.432178, NEL1.2.1, 46.380959 
7.423023, NEH2.1.1, 7.450174 
7.436853, NEL2.1.1, 1.251061 
7.432788, NEL2.1.1, 1.225988 
7.409595, NEH2.1.1, 7.221097 
7.413257, NEL3.1.1, 0.878879 
7.419556, NEL2.1.1, 1.147277 
7.421997, NEH2.1.1, 7.432492 
7.436243, ER4.1.1.3, 1.697548 
7.430542, NEH2.1.1, 7.580660 
7.432788, NEH2.1.1, 7.619947 
7.434205, NEL2.1.1, 1.234680 
7.434620, NEL3.1.1, 0.949768 
7.433594, NEL2.1.1, 1.230926 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.1, 8.032092 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.1, 8.032092 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL3.3.1, 2.759635 
7.211508, NEH1.4.1, 8.274358 
7.210529, NEH1.4.1, 8.255553 
7.209411, NEL1.4.2, 14.904388 
7.209411, NEL1.4.2, 14.904388 
7.208292, NEH1.4.1, 8.212694 
7.206615, NEH1.4.1, 8.180666 
7.207453, NEH1.4.1, 8.196660 
7.206615, NEH1.4.1, 8.180666 
7.212627, NEH4.1.1, 1.624423 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEH4.1.2, 0.968860 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEH4.1.1, 0.968860 
7.126659, NEH4.1.2, 0.968860 
7.210250, NEH4.1.3, 1.602277 
7.209411, NEH3.2.1, 0.993294 
7.208153, NEL3.2.1, 0.988679 
7.207733, NEH3.2.1, 0.987142 
7.207733, NEL3.2.1, 0.987142 
7.207733, NEL3.2.1, 0.987142 
7.207034, NEH3.2.1, 0.984590 
7.205915, NEH3.2.1, 0.980514 
7.206615, NEH3.2.1, 0.983062 
7.206335, NEH3.2.1, 0.982042 
7.126659, NEL1.2.2, 45.922560 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL1.4.2, 12.384262 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.212347, NEL1.3.1, 6.370780 
7.213326, NEH3.2.1, 1.007769 
7.211089, NEH1.3.1, 5.465603 
7.210529, NEH1.3.1, 5.457792 
7.210110, NEH1.3.1, 5.451954 
7.209970, NEH1.3.1, 5.450004 
7.209551, NEH1.3.1, 5.444171 
7.208432, NEH1.3.1, 5.428617 
7.207034, NEH3.2.1, 0.984590 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.3.1, 2.759635 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL1.4.1, 8.032092 
7.126659, NEL1.3.1, 5.009929 
7.126659, NEH3.1.1, 0.281427 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEL1.3.1, 6.920678 
7.243172, NEL1.3.2, 12.966971 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEL3.2.1, 1.124019 
7.243172, ER1.1.1.3, 0.068681 
7.251974, NEL2.1.1, 0.465163 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.3.1, 3.836926 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEL4.1.2, 12.966971 
7.243172, NEL3.2.1, 1.124019 
7.216541, NEL3.3.1, 3.566130 
7.217520, NEL3.3.1, 3.575817 
7.212347, NEL4.1.2, 12.166075 
7.209271, NEH4.1.2, 1.593229 
7.243172, ER4.1.1.1, 0.791203 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEL4.1.3, 12.966971 
7.243172, NEL4.1.2, 12.966971 
7.243172, NEL4.1.2, 12.966971 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, ER1.1.1.1, 0.068681 
7.293395, ER1.1.1.1, 0.109954 
7.282825, ER1.1.1.2, 0.099760 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEL1.4.1, 10.734920 
7.243172, ER1.1.1.2, 0.068681 
7.243172, ER1.1.1.2, 0.068681 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.190815, NEH4.1.3, 1.430470 
7.182846, NEH4.1.3, 1.364628 
7.184524, NEH4.1.2, 1.378276 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL2.1.1, 0.218788 
7.192214, NEH4.1.2, 1.442299 
7.243172, NEL3.2.1, 1.124019 
7.259115, NEL3.2.1, 1.190551 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL3.2.1, 1.124019 
7.257973, NEL3.3.1, 3.994076 
7.397157, NEL2.1.1, 1.023737 
7.404025, NEH4.1.3, 4.439271 
7.411183, NEH4.1.3, 4.592346 
7.403812, NEH4.1.2, 4.434777 
7.365953, NEH3.2.1, 1.725508 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEH4.1.3, 0.968860 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL4.1.2, 10.108769 
7.126659, NEH4.1.2, 0.968860 
7.126659, NEH2.1.1, 3.488053 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL3.1.1, 1.959011 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.631965, NEH2.1.1, 11.688448 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.591042, NEH2.1.1, 10.756479 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.2, 9.023670 
7.648280, NEL1.4.1, 24.304734 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEH2.1.2, 22.861777 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.2, 22.861777 
7.648280, NEL3.1.1, 1.959011 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL2.1.1, 0.442164 
7.247118, NEL2.1.1, 0.452349 
7.247689, NEL2.1.1, 0.453840 
7.243172, NEL4.1.1, 4.785327 
7.243172, NEL2.1.1, 0.442164 
